 STATE COUNTY                    COUNTY_SEA                ZIP_CODE
 AR    CARROLL                   BERRYVILLE                72616
 AR    CARROLL                   EUREKA SPRINGS            72632
 AR    CHICOT                    LAKE VILLAGE              71653
 AR    CLARK                     ARKADELPHIA               71923
 AR    CLAY                      CORNING                   72422
 AR    CLAY                      PIGGOTT                   72454
 AR    CLEBURNE                  HEBER SPRINGS             72543
 AR    CLEVELAND                 RISON                     71665
 AR    COLUMBIA                  MAGNOLIA                  71753
 AR    CONWAY                    MORRILTON                 72110
 AR    CRAIGHEAD                 JONESBORO                 72401
 AR    CRAIGHEAD                 LAKE CITY                 72437
 AR    CRAWFORD                  VAN BUREN                 72956
 AR    CRITTENDEN                MARION                    72364
 AR    CROSS                     WYNNE                     72396
 AR    DALLAS                    FORDYCE                   71742
 AR    DESHA                     ARKANSAS CITY             71630
 AR    DREW                      MONTICELLO                71655
 AR    FAULKNER                  CONWAY                    72032
 AR    FRANKLIN                  CHARLESTON                72933
 AR    FRANKLIN                  OZARK                     72949
 AR    FULTON                    SALEM                     72576
 AR    GARLAND                   HOT SPRINGS NATL. PARK    71901
 AR    GRANT                     SHERIDAN                  72150
 AR    GREENE                    PARAGOULD                 72450
 AR    HEMPSTEAD                 HOPE                      71801
 AR    HOT SPRING                MALVERN                   72104
 AR    HOWARD                    NASHVILLE                 71852
 AR    INDEPENDENCE              BATESVILLE                72501
 AR    IZARD                     MELBOURNE                 72556
 AR    JACKSON                   NEWPORT                   72112
 AR    JEFFERSON                 PINE BLUFF                71601
 AR    JOHNSON                   CLARKSVILLE               72830
 AR    LAFAYETTE                 LEWISVILLE                71845
 AR    LAWRENCE                  WALNUT RIDGE              72476
 AR    LEE                       MARIANNA                  72360
 AR    LINCOLN                   STAR CITY                 71667
 AR    LITTLE RIVER              ASHDOWN                   71822
 AR    LOGAN                     BOONEVILLE                72927
 AR    LOGAN                     PARIS                     72855
 AR    LONOKE                    LONOKE                    72086
 AR    MADISON                   HUNTSVILLE                72740
 AR    MARION                    YELLVILLE                 72687
 AR    MILLER                    TEXARKANA                 75501
 AR    MISSISSIPPI               BLYTHEVILLE               72315
 AR    MISSISSIPPI               OSCEOLA                   72370
 AR    MONROE                    CLARENDON                 72029
 AR    MONTGOMERY                MOUNT IDA                 71957
 AR    NEVADA                    PRESCOTT                  71857
 AR    NEWTON                    JASPER                    72641
 AR    OUACHITA                  CAMDEN                    71701
 AR    PERRY                     PERRYVILLE                72126
 AR    PHILLIPS                  HELENA                    72342
 AR    PIKE                      MURFREESBORO              71958
 AR    POINSETT                  HARRISBURG                72432
 AR    POLK                      MENA                      71953
 AR    POPE                      RUSSELLVILLE              72801
 AR    PRAIRIE                   DE VALLS BLUFF            72041
 AR    PRAIRIE                   DES ARC                   72040
 AR    PULASKI                   LITTLE ROCK               72201
 AR    RANDOLPH                  POCAHONTAS                72455
 AR    SAINT FRANCIS             FORREST CITY              72335
 AR    SALINE                    BENTON                    72015
 AR    SCOTT                     WALDRON                   72958
 AR    SEARCY                    MARSHALL                  72650
 AR    SEBASTIAN                 FORT SMITH                72901
 AR    SEBASTIAN                 GREENWOOD                 72936
 AR    SEVIER                    DE QUEEN                  71832
 AR    SHARP                     ASH FLAT                  72513
 AR    STONE                     MOUNTAIN VIEW             72560
 AR    UNION                     EL DORADO                 71730
 AR    VAN BUREN                 CLINTON                   72031
 AR    WASHINGTON                FAYETTEVILLE              72701
 AR    WHITE                     SEARCY                    72143
 AR    WOODRUFF                  AUGUSTA                   72006
 AR    YELL                      DANVILLE                  72833
 AR    YELL                      DARDANELLE                72834
 AZ    APACHE                    SAINT JOHNS               85936
 AZ    COCHISE                   BISBEE                    85603
 AZ    COCONINO                  FLAGSTAFF                 86001
 AZ    GILA                      GLOBE                     85501
 AZ    GRAHAM                    SAFFORD                   85546
 AZ    GREENLEE                  CLIFTON                   85533
 AZ    LA PAZ                    PARKER                    85344
 AZ    MARICOPA                  PHOENIX                   85001
 AZ    MOHAVE                    KINGMAN                   86401
 AZ    NAVAJO                    HOLBROOK                  86025
 AZ    PIMA                      TUCSON                    85701
 AZ    PINAL                     FLORENCE                  85232
 AZ    SANTA CRUZ                NOGALES                   85621
 AZ    YAVAPAI                   PRESCOTT                  86301
 AZ    YUMA                      YUMA                      85364
 CA    ALAMEDA                   OAKLAND                   94601
 CA    ALPINE                    MARKLEEVILLE              96120
 CA    AMADOR                    JACKSON                   95642
 CA    BUTTE                     OROVILLE                  95965
 CA    CALAVERAS                 SAN ANDREAS               95249
 CA    COLUSA                    COLUSA                    95932
 CA    CONTRA COSTA              MARTINEZ                  94553
 CA    DEL NORTE                 CRESCENT CITY             95531
 CA    EL DORAO                  PLACERVILLE               95667
 CA    FRESNO                    FRESNO                    93701
 CA    GLENN                     WILLOWS                   95988
 CA    HUMBOLDT                  EUREKA                    95501
 CA    IMPERIAL                  EL CENTRO                 92243
 CA    INYO                      INDEPENDENCE              93526
 CA    KERN                      BAKERSFIELD               93301
 CA    KINGS                     HANFORD                   93230
 CA    LAKE                      LAKEPORT                  95453
 CA    LASSEN                    SUSANVILLE                96130
 CA    LOS ANGELES               LOS ANGELES               90001
 CA    MADERA                    MADERA                    93637
 CA    MARIN                     SAN RAFAEL                94901
 CA    MARIPOSA                  MARIPOSA                  95338
 CA    MENDOCINO                 UKIAH                     94582
 CA    MERCED                    MERCED                    95340
 CA    MODOC                     ALTURAS                   96101
 CA    MONO                      BRIDGEPORT                93517
 CA    MONTEREY                  SALINAS                   93901
 CA    NAPA                      NAPA                      94558
 CA    NEVADA                    NEVADA CITY               95959
 CA    ORANGE                    SANTA ANA                 92701
 CA    PLACER                    AUBURN                    95603
 CA    PLUMAS                    QUINCY                    95971
 CA    RIVERSIDE                 RIVERSIDE                 92501
 CA    SACRAMENTO                SACRAMENTO                95801
 CA    SAN BENITO                HOLLISTER                 95023
 CA    SAN BERNARDINO            SAN BERNARDINO            92401
 CA    SAN DIEGO                 SAN DIEGO                 92101
 CA    SAN FRANCISCO             SAN FRANCISCO             94101
 CA    SAN JOAQUIN               STOCKTON                  95201
 CA    SAN LUIS OBISPO           SAN LUIS OBISPO           93401
 CA    SAN MATEO                 REDWOOD CITY              94061
 CA    SANTA BARBARA             SANTA BARBARA             93101
 CA    SANTA CLARA               SAN JOSE                  95101
 CA    SANTA CRUZ                SANTA CRUZ                95054
 CA    SHASTA                    REDDING                   96001
 CA    SIERRA                    DOWNIEVILLE               95936
 CA    SISKIYOU                  YREKA                     96097
 CA    SOLANO                    FAIRFIELD                 94533
 CA    SONOMA                    SANTA ROSA                95401
 CA    STANISLAUS                MODESTO                   95350
 CA    SUTTER                    YUBA CITY                 95991
 CA    TEHAMA                    RED BLUFF                 96080
 CA    TRINITY                   WEAVERVILLE               96093
 CA    TULARE                    VISALIA                   93277
 CA    TUOLUMNE                  SONORA                    95370
 CA    VENTURA                   VENTURA                   93001
 CA    YOLO                      WOODLAND                  95695
 CA    YUBA                      MARYSVILLE                95901
 CO    ADAMS                     BRIGHTON                  80601
 CO    ALAMOSA                   ALAMOSA                   81101
 CO    ARAPAHOE                  LITTLETON                 80120
 CO    ARCHULETA                 PAGOSA SPRINGS            81147
 CO    BACA                      SPRINGFIELD               81073
 CO    BENT                      LAS ANIMAS                81054
 CO    BOULDER                   BOULDER                   80302
 CO    CHAFFEE                   SALIDA                    81201
 CO    CHEYENNE                  CHEYENNE WELLS            80810
 CO    CLEAR CREEK               GEORGETOWN                80444
 CO    CONEJOS                   CONEJOS                   81129
 CO    COSTILLA                  SAN LUIS                  81152
 CO    CROWLEY                   ORDWAY                    81063
 CO    CUSTER                    WESTCLIFFE                81252
 CO    DELTA                     DELTA                     81416
 CO    DENVER                    DENVER                    80200
 CO    DOLORES                   DOVE CREEK                81324
 CO    DOUGLAS                   CASTLE ROCK               80104
 CO    EAGLE                     EAGLE                     81631
 CO    EL PASO                   COLORADO SPRINGS          80901
 CO    ELBERT                    KIOWA                     80117
 CO    FREMONT                   CANON CITY                81212
 CO    GARFIELD                  GLENWOOD SPRINGS          81601
 CO    GILPIN                    CENTRAL CITY              80427
 CO    GRAND                     HOT SULPHER SPRINGS       80451
 CO    GUNNISON                  GUNNISON                  81230
 CO    HINSDALE                  LAKE CITY                 81235
 CO    HUERFANO                  WALSENBURG                81089
 CO    JACKSON                   WALDEN                    80480
 CO    JEFFERSON                 GOLDEN                    80401
 CO    KIOWA                     EADS                      81036
 CO    KIT CARSON                BURLINGTON                80807
 CO    LA PLATA                  DURANGO                   81301
 CO    LAKE                      LEADVILLE                 80461
 CO    LARIMER                   FORT COLLINS              80521
 CO    LAS ANIMAS                TRINIDAD                  81082
 CO    LINCOLN                   HUGO                      80821
 CO    LOGAN                     STERLING                  80751
 CO    MESA                      GRAND JUNCTION            81501
 CO    MINERAL                   CREEDE                    81130
 CO    MOFFAT                    CRAIG                     81625
 CO    MONTEZUMA                 CORTEZ                    81321
 CO    MONTROSE                  MONTROSE                  81401
 CO    MORGAN                    FORT MORGAN               80701
 CO    OTERO                     LA JUNTA                  81050
 CO    OURAY                     OURAY                     81427
 CO    PARK                      FAIRPLAY                  80440
 CO    PHILLIPS                  HOLYOKE                   80734
 CO    PITKIN                    ASPEN                     81611
 CO    PROWERS                   LAMAR                     81052
 CO    PUEBLO                    PUEBLO                    81001
 CO    RIO BLANCO                MEEKER                    81641
 CO    RIO GRANDE                DEL NORTE                 81132
 CO    ROUTT                     STEAMBOAT SPRINGS         80477
 CO    SAGUACHE                  SAGUACHE                  81149
 CO    SAN JUAN                  SILVERTON                 81433
 CO    SAN MIGUEL                TELLURIDE                 81435
 CO    SEDGWICK                  JULESBURG                 80737
 CO    SUMMIT                    BRECKENRIDGE              80424
 CO    TELLER                    CRIPPLE CREEK             80813
 CO    WASHINGTON                AKRON                     80720
 CO    WELD                      GREELEY                   80631
 CO    YUMA                      WRAY                      80758
 CT    FAIRFIELD                 BRIDGEPORT                06600
 CT    HARTFORD                  HARTFORD                  06100
 CT    LITCHFIELD                LITCHFIELD                06759
 CT    MIDDLESEX                 MIDDLETOWN                06457
 CT    NEW HAVEN                 NEW HAVEN                 06501
 CT    NEW LONDON                NORWICH                   06360
 CT    TOLLAND                   ROCKVILLE                 06066
 CT    WINDHAM                   PUTNAM                    06260
 DE    KENT                      DOVER                     19901
 DE    NEW CASTLE                WILMINGTON                19800
 DE    SUSSEX                    GEORGETOWN                19947
 FL    ALACHUA                   GAINESVILLE               32601
 FL    BAKER                     MACCLENNY                 32083
 FL    BAY                       PANAMA CITY               32401
 FL    BRADFORD                  STARKE                    32091
 FL    BREVARD                   TITUSVILLE                32780
 FL    BROWARD                   FORT LAUDERDALE           33300
 FL    CALHOUN                   BLOUNTSTOWN               32424
 FL    CHARLOTTE                 PUNTA GORDA               33950
 FL    CITRUS                    INVERNESS                 32650
 FL    CLAY                      GREEN COVE SPRINGS        32043
 FL    COLLIER                   NAPLES                    33940
 FL    COLUMBIA                  LAKE CITY                 32055
 FL    DADE                      MIAMI                     33100
 FL    DE SOTO                   ARCADIA                   33821
 FL    DIXIE                     CROSS CITY                32628
 FL    DUVAL                     JACKSONVILLE              32201
 FL    ESCAMBIA                  PENSACOLA                 32501
 FL    FLAGLER                   BUNNELL                   32010
 FL    FRANKLIN                  APALACHICOLA              23230
 FL    GADSDEN                   QUINCY                    32351
 FL    GILCHRIST                 TRENTON                   32693
 FL    GLADES                    MOORE HAVEN               33471
 FL    GULF                      PORT SAINT JOE            32456
 FL    HAMILTON                  JASPER                    32052
 FL    HARDEE                    WAUCHULA                  33873
 FL    HENDRY                    LA BELLE                  33935
 FL    HERNANDO                  BROOKSVILLE               33512
 FL    HIGHLANDS                 SEBRING                   33870
 FL    HILLSBOROUGH              TAMPA                     33601
 FL    HOLMES                    BONIFAY                   32425
 FL    INDIAN RIVER              VERO BEACH                32960
 FL    JACKSON                   MARIANNA                  32446
 FL    JEFFERSON                 MONTICELLO                32344
 FL    LAFAYETTE                 MAYO                      32066
 FL    LAKE                      TAVARES                   32778
 FL    LEE                       FORT MYERS                33901
 FL    LEON                      TALLAHASSEE               32301
 FL    LEVY                      BRONSON                   32621
 FL    LIBERTY                   BRISTOL                   32321
 FL    MADISON                   MADISON                   32340
 FL    MANATEE                   BRADENTON                 33505
 FL    MARION                    OCALA                     32670
 FL    MARTIN                    STUART                    33494
 FL    MONROE                    KEY WEST                  33040
 FL    NASSAU                    FERNANDINA BEACH          32034
 FL    OKALOOSA                  CRESTVIEW                 32536
 FL    OKEECHOBEE                OKEECHOBEE                33472
 FL    ORANGE                    ORLANDO                   32802
 FL    OSCEOLA                   KISSIMMEE                 32741
 FL    PALM BEACH                WEST PALM BEACH           33401
 FL    PASCO                     DADE CITY                 33525
 FL    PINELLAS                  CLEARWATER                33515
 FL    POLK                      BARTOW                    33830
 FL    PUTNAM                    PALATKA                   32077
 FL    SAINT JOHNS               SAINT AUGUSTINE           32084
 FL    SAINT LUCIE               FORT PIERCE               33450
 FL    SANTA ROSA                MILTON                    32570
 FL    SARASOTA                  SARASOTA                  33577
 FL    SEMINOLE                  SANFORD                   32771
 FL    SUMTER                    BUSHNELL                  33513
 FL    SUWANNEE                  LIVE OAK                  32060
 FL    TAYLOR                    PERRY                     32347
 FL    UNION                     LAKE BUTLER               32054
 FL    VOLUSIA                   DE LAND                   32720
 FL    WAKULLA                   CRAWFORDVILLE             32327
 FL    WALTON                    DE FUNIAK SPRINGS         32433
 FL    WASHINGTON                CHIPLEY                   32428
 GA    APPLING                   BAXLEY                    31513
 GA    ATKINSON                  PEARSON                   31642
 GA    BACON                     ALMA                      31510
 GA    BAKER                     NEWTON                    31770
 GA    BALDWIN                   MILLEDGEVILLE             31061
 GA    BANKS                     HOMER                     30547
 GA    BARROW                    WINDER                    30680
 GA    BARTOW                    CARTERSVILLE              30120
 GA    BEN HILL                  FITZGERALD                31750
 GA    BERRIEN                   NASHVILLE                 31639
 GA    BIBB                      MACON                     31200
 GA    BLECKLEY                  COCHRAN                   31014
 GA    BRANTLEY                  NAHUNTA                   31553
 GA    BROOKS                    QUITMAN                   31643
 GA    BRYAN                     PEMBROKE                  31321
 GA    BULLOCH                   STATESBORO                30458
 GA    BURKE                     WAYNESBORO                30830
 GA    BUTTS                     JACKSON                   30233
 GA    CALHOUN                   MORGAN                    31766
 GA    CAMDEN                    WOODBINE                  31569
 GA    CANDLER                   METTER                    30439
 GA    CARROLL                   CARROLLTON                30117
 GA    CATOOSA                   RINGGOLD                  30736
 GA    CHARLTON                  FOLKSTON                  31537
 GA    CHATHAM                   SAVANNAH                  31400
 GA    CHATTAHOOCHEE             CUSSETA                   31805
 GA    CHATTOOGA                 SUMMERVILLE               30747
 GA    CHEROKEE                  CANTON                    30114
 GA    CLARKE                    ATHENS                    30601
 GA    CLAY                      FORT GAINES               31751
 GA    CLAYTON                   JONESBORO                 30236
 GA    CLINCH                    HOMERVILLE                31634
 GA    COBB                      MARIETTA                  30060
 GA    COFFEE                    DOUGLAS                   31533
 GA    COLQUITT                  MOULTRIE                  31768
 GA    COLUMBIA                  APPLING                   30802
 GA    COOK                      ADEL                      31620
 GA    COWETA                    NEWNAN                    30263
 GA    CRAWFORD                  KNOXVILLE                 31050
 GA    CRISP                     CORDELE                   31015
 GA    DADE                      TRENTON                   30752
 GA    DAWSON                    DAWSONVILLE               30534
 GA    DE KALB                   DECATUR                   30330
 GA    DECATUR                   BAINBRIDGE                31717
 GA    DODGE                     EASTMAN                   31023
 GA    DOOLY                     VIENNA                    31092
 GA    DOUGHERTY                 ALBANY                    31701
 GA    DOUGLAS                   DOUGLASVILLE              30134
 GA    EARLY                     BLAKELY                   31723
 GA    ECHOLS                    STATENVILLE               31648
 GA    EFFINGHAM                 SPRINGFIELD               31329
 GA    ELBERT                    ELBERTON                  30635
 GA    EMANUEL                   SWAINSBORO                30401
 GA    EVANS                     CLAXTON                   30417
 GA    FANNIN                    BLUE RIDGE                30513
 GA    FAYETTE                   FAYETTEVILLE              30214
 GA    FLOYD                     ROME                      30161
 GA    FORSYTH                   CUMMING                   30130
 GA    FRANKLIN                  CARNESVILLE               30521
 GA    FULTON                    ATLANTA                   30300
 GA    GILMER                    ELLIJAY                   30540
 GA    GLASCOCK                  GIBSON                    30810
 GA    GLYNN                     BRUNSWICK                 31520
 GA    GORDON                    CALHOUN                   30701
 GA    GRADY                     CAIRO                     31728
 GA    GREENE                    GREENSBORO                30642
 GA    GWINNETT                  LAWRENCEVILLE             30245
 GA    HABERSHAM                 CLARKESVILLE              30523
 GA    HALL                      GAINESVILLE               30501
 GA    HANCOCK                   SPARTA                    31087
 GA    HARALSON                  BUCHANAN                  30113
 GA    HARRIS                    HAMILTON                  31811
 GA    HART                      HARTWELL                  30643
 GA    HEARD                     FRANKLIN                  30217
 GA    HENRY                     MC DONOUGH                30253
 GA    HOUSTON                   PERRY                     31069
 GA    IRWIN                     OCILLA                    31774
 GA    JACKSON                   JEFFERSON                 30549
 GA    JASPER                    MONTICELLO                31064
 GA    JEFF DAVIS                HAZLEHURST                31539
 GA    JEFFERSON                 LOUISVILLE                30434
 GA    JENKINS                   MILLEN                    30442
 GA    JOHNSON                   WRIGHTSVILLE              31096
 GA    JONES                     GRAY                      31032
 GA    LAMAR                     BARNESVILLE               30204
 GA    LANIER                    LAKELAND                  31635
 GA    LAURENS                   DUBLIN                    31021
 GA    LEE                       LEESBURG                  31763
 GA    LIBERTY                   HINESVILLE                31313
 GA    LINCOLN                   LINCOLNTON                30817
 GA    LONG                      LUDOWICI                  31316
 GA    LOWNDES                   VALDOSTA                  31601
 GA    LUMPKIN                   DAHLONEGA                 30533
 GA    MACON                     OGLETHORPE                31068
 GA    MADISON                   DANIELSVILLE              30633
 GA    MARION                    BUENA VISTA               31803
 GA    MC DUFFIE                 THOMSON                   30824
 GA    MC INTOSH                 DARIEN                    31305
 GA    MERIWETHER                GREENVILLE                30222
 GA    MILLER                    COLQUITT                  31737
 GA    MITCHELL                  CAMILLA                   31730
 GA    MONROE                    FORSYTH                   31029
 GA    MONTGOMERY                MOUNT VERNON              30445
 GA    MORGAN                    MADISON                   30650
 GA    MURRAY                    CHATSWORTH                30705
 GA    MUSCOGEE                  COLUMBUS                  31900
 GA    NEWTON                    COVINGTON                 30209
 GA    OCONEE                    WATKINSVILLE              30677
 GA    OGLETHORPE                LEXINGTON                 30648
 GA    PAULDING                  DALLAS                    30132
 GA    PEACH                     FORT VALLEY               31030
 GA    PICKENS                   JASPER                    30143
 GA    PIERCE                    BLACKSHEAR                31516
 GA    PIKE                      ZEBULON                   30295
 GA    POLK                      CEDARTOWN                 30125
 GA    PULASKI                   HAWKINSVILLE              31036
 GA    PUTNAM                    EATONTON                  31024
 GA    QUITMAN                   GEORGETOWN                31754
 GA    RABUN                     CLAYTON                   30525
 GA    RANDOLPH                  CUTHBERT                  31740
 GA    RICHMOND                  AUGUSTA                   30900
 GA    ROCKDALE                  CONYERS                   30207
 GA    SCHLEY                    ELLAVILLE                 31806
 GA    SCREVEN                   SYLVANIA                  30467
 GA    SEMINOLE                  DONALSONVILLE             31745
 GA    SPALDING                  GRIFFIN                   30223
 GA    STEPHENS                  TOCCOA                    30577
 GA    STEWART                   LUMPKIN                   31815
 GA    SUMTER                    AMERICUS                  31709
 GA    TALBOT                    TALBOTTON                 31827
 GA    TALIAFERRO                CRAWFORDVILLE             30631
 GA    TATTNALL                  REIDSVILLE                30453
 GA    TAYLOR                    BUTLER                    31006
 GA    TELFAIR                   MC RAE                    31055
 GA    TERRELL                   DAWSON                    31742
 GA    THOMAS                    THOMASVILLE               31792
 GA    TIFT                      TIFTON                    31794
 GA    TOOMBS                    LYONS                     30436
 GA    TOWNS                     HIAWASSEE                 30546
 GA    TREUTLEN                  SOPERTON                  30457
 GA    TROUP                     LA GRANGE                 30240
 GA    TURNER                    ASHBURN                   31714
 GA    TWIGGS                    JEFFERSONVILLE            31044
 GA    UNION                     BLAIRSVILLE               30512
 GA    UPSON                     THOMASTON                 30286
 GA    WALKER                    LA FAYETTE                30728
 GA    WALTON                    MONROE                    30655
 GA    WARE                      WAYCROSS                  31501
 GA    WARREN                    WARRENTON                 30828
 GA    WASHINGTON                SANDERSVILLE              31082
 GA    WAYNE                     JESUP                     31545
 GA    WEBSTER                   PRESTON                   31824
 GA    WHEELER                   ALAMO                     30411
 GA    WHITE                     CLEVELAND                 30528
 GA    WHITFIELD                 DALTON                    30720
 GA    WILCOX                    ABBEVILLE                 31001
 GA    WILKES                    WASHINGTON                30673
 GA    WILKINSON                 IRWINTON                  31042
 GA    WORTH                     SYLVESTER                 31791
 HI    HAWAII                    HILO                      96720
 HI    HONOLULU                  HONOLULU                  96800
 HI    KALAWAO                   KALAUPAPA                 96742
 HI    KAUAI                     LIHUE                     96766
 HI    MAUI                      WAILUKU                   96793
 IA    ADAIR                     GREENFIELD                50849
 IA    ADAMS                     CORNING                   50841
 IA    ALLAMAKEE                 WAUKON                    52172
 IA    APPANOOSE                 CENTERVILLE               52544
 IA    AUDUBON                   AUDUBON                   50025
 IA    BENTON                    VINTON                    52349
 IA    BLACK HAWK                WATERLOO                  50700
 IA    BOONE                     BOONE                     50036
 IA    BREMER                    WAVERLY                   50677
 IA    BUCHANAN                  INDEPENDENCE              50644
 IA    BUENA VISTA               STORM LAKE                50588
 IA    BUTLER                    ALLISON                   50602
 IA    CALHOUN                   ROCKWELL CITY             50579
 IA    CARROLL                   CARROLL                   51401
 IA    CASS                      ATLANTIC                  50022
 IA    CEDAR                     TIPTON                    52772
 IA    CERRO GORDO               MASON CITY                50401
 IA    CHEROKEE                  CHEROKEE                  51012
 IA    CHICKASAW                 NEW HAMPTON               50659
 IA    CLARKE                    OSCEOLA                   50213
 IA    CLAY                      SPENCER                   51301
 IA    CLAYTON                   ELKADER                   52043
 IA    CLINTON                   CLINTON                   52732
 IA    CRAWFORD                  DENISON                   51442
 IA    DALLAS                    ADEL                      50003
 IA    DAVIS                     BLOOMFIELD                52537
 IA    DECATUR                   LEON                      50144
 IA    DELAWARE                  MANCHESTER                52057
 IA    DES MOINES                BURLINGTON                52601
 IA    DICKINSON                 SPIRIT LAKE               51360
 IA    DUBUQUE                   DUBUQUE                   52001
 IA    EMMET                     ESTHERVILLE               51334
 IA    FAYETTE                   WEST UNION                52175
 IA    FLOYD                     CHARLES CITY              50616
 IA    FRANKLIN                  HAMPTON                   51441
 IA    FREMONT                   SIDNEY                    51652
 IA    GREENE                    JEFFERSON                 50129
 IA    GRUNDY                    GRUNDY CENTER             50638
 IA    GUTHRIE                   GUTHRIE CENTER            50115
 IA    HAMILTON                  WEBSTER CITY              52355
 IA    HANCOCK                   GARNER                    50438
 IA    HARDIN                    ELDORA                    50627
 IA    HARRISON                  LOGAN                     51546
 IA    HENRY                     MOUNT PLEASANT            52641
 IA    HOWARD                     CRESCO                   52136
 IA    HUMBOLDT                  DAKOTA CITY               50529
 IA    IDA                       IDA GROVE                 51445
 IA    IOWA                      MARENGO                   52301
 IA    JACKSON                   MAQUOKETA                 52060
 IA    JASPER                    NEWTON                    50208
 IA    JEFFERSON                 FAIRFIELD                 52556
 IA    JOHNSON                   IOWA CITY                 52240
 IA    JONES                     ANAMOSA                   52205
 IA    KEOKUK                    SIGOURNEY                 52591
 IA    KOSSUTH                   ALGONA                    50511
 IA    LEE                       FORT MADISON              52627
 IA    LEE                       KEOKUK                    52632
 IA    LINN                      CEDAR RAPIDS              52420
 IA    LOUISA                    WAPELLO                   52653
 IA    LUCAS                     CHARITON                  50049
 IA    LYON                      ROCK RAPIDS               51246
 IA    MADISON                   WINTERSET                 50273
 IA    MAHASKA                   OSKALOOSA                 52577
 IA    MARION                    KNOXVILLE                 50138
 IA    MARSHALL                  MARSHALLTOWN              50158
 IA    MILLS                     GLENWOOD                  51534
 IA    MITCHELL                  OSAGE                     50461
 IA    MONONA                    ONAWA                     51040
 IA    MONROE                    ALBIA                     52531
 IA    MONTGOMERY                RED OAK                   51566
 IA    MUSCATINE                 MUSCATINE                 52761
 IA    O'BRIEN                   PRIMGHAR                  51245
